"BIB_DOC","CTRL_FIELDS","CIS_BIBS","OCLC_BIBS"
24216817,3,1,1
24418464,2,1,1
23851928,2,1,1
25095708,2,1,1
24444070,2,1,1
24140133,2,1,1
25518100,2,1,1
24113374,2,1,1
24594211,2,1,1
23782608,3,1,1
24686985,2,1,1
23861978,2,1,1
25597202,2,1,1
25191080,2,1,1
24362023,2,1,1
25170046,2,1,1
24226523,3,1,1
24012453,2,1,1
25302291,2,1,1
24393125,2,1,1
24394173,2,1,1
27564297,2,1,1
25629005,2,1,1
25006753,2,1,1
25413373,2,1,1
24343865,2,1,1
24320249,2,1,1
25805397,2,1,1
25805090,2,1,1
25088833,2,1,1
24197198,3,1,1
24197224,4,1,1
24475220,2,1,1
24120606,2,1,1
24121640,2,1,1
24231060,2,1,1
25336999,2,1,1
24278335,3,1,1
24985916,2,1,1
24491582,2,1,1
25110630,2,1,1
24226235,3,1,1
24134002,2,1,1
24144391,2,1,1
23897941,2,1,1
24364531,2,1,1
24442084,2,1,1
25534256,2,1,1
23752047,3,1,1
25599811,2,1,1
27303115,2,1,1
23929432,2,1,1
23911444,2,1,1
23929241,2,1,1
24082579,2,1,1
25062373,2,1,1
24405337,2,1,1
27306146,4,1,1
25640142,2,1,1
25181934,2,1,1
24094726,2,1,1
24671771,2,1,1
25474569,2,1,1
24317387,2,1,1
25732642,2,1,1
24255857,2,1,1
24284748,2,1,1
26237441,2,1,1
24259468,2,1,1
24164625,2,1,1
24259110,2,1,1
24265634,2,1,1
24215654,3,1,1
24084008,2,1,1
25679173,2,1,1
25168046,2,1,1
23782670,3,1,1
25102541,2,1,1
24279837,3,1,1
23783160,3,1,1
25047063,2,1,1
24374881,2,1,1
25704734,2,1,1
25113216,2,1,1
24285448,2,1,1
25209625,2,1,1
25655678,2,1,1
25743953,2,1,1
25116827,2,1,1
25117194,2,1,1
25122701,2,1,1
25123231,2,1,1
25511409,2,1,1
24016279,2,1,1
25596527,2,1,1
25594183,2,1,1
25197473,2,1,1
25606415,2,1,1
25025733,2,1,1
25130405,2,1,1
24091048,2,1,1
24987997,2,1,1
24232321,2,1,1
25132546,2,1,1
24968802,2,1,1
25135719,2,1,1
24282973,2,1,1
25610273,2,1,1
24294408,2,1,1
24926994,2,1,1
24296482,2,1,1
24576548,2,1,1
25555704,2,1,1
25633048,2,1,1
24996922,2,1,1
24215519,3,1,1
25004523,2,1,1
24303480,2,1,1
25462513,2,1,1
25483988,2,1,1
24305120,2,1,1
24935761,2,1,1
25098066,2,1,1
25016313,2,1,1
25016476,2,1,1
25016739,2,1,1
25178982,2,1,1
25179649,2,1,1
25250068,2,1,1
25249859,2,1,1
25250040,2,1,1
25568016,2,1,1
25732923,2,1,1
25808177,2,1,1
25808031,2,1,1
25142129,2,1,1
25011324,2,1,1
25011477,2,1,1
25233449,2,1,1
25013994,2,1,1
25045244,2,1,1
24291458,2,1,1
24291432,2,1,1
24111946,2,1,1
24197377,3,1,1
24146821,2,1,1
24264224,2,1,1
25503741,2,1,1
24232683,2,1,1
25241922,2,1,1
25244285,2,1,1
25139768,2,1,1
25143952,2,1,1
25145947,2,1,1
25145915,2,1,1
24981978,2,1,1
25166538,2,1,1
24098559,2,1,1
24327869,2,1,1
24572743,2,1,1
24205455,2,1,1
